x,t,u
-1.5,0,0.001293245
-1.46875,0,0.001788363
-1.4375,0,0.002571751
-1.40625,0,0.003669518
-1.375,0,0.005195129
-1.34375,0,0.007297777
-1.3125,0,0.010171663
-1.28125,0,0.014066964
-1.25,0,0.019302602
-1.21875,0,0.026280787
-1.1875,0,0.035503237
-1.15625,0,0.04758878
-1.125,0,0.063291917
-1.09375,0,0.083521632
-1.0625,0,0.109359557
-1.03125,0,0.142076275
-1,0,0.183144307
-0.96875,0,0.234246079
-0.9375,0,0.297274926
-0.90625,0,0.374327099
-0.875,0,0.467682692
-0.84375,0,0.579773506
-0.8125,0,0.71313618
-0.78125,0,0.870349353
-0.75,0,1.053954313
-0.71875,0,1.266359443
-0.6875,0,1.509729818
-0.65625,0,1.785864493
-0.625,0,2.096065268
-0.59375,0,2.441001961
-0.5625,0,2.820580384
-0.53125,0,3.233820123
-0.5,0,3.678749878
-0.46875,0,4.152328312
-0.4375,0,4.650398065
-0.40625,0,5.167679769
-0.375,0,5.69781148
-0.34375,0,6.233437007
-0.3125,0,6.766344251
-0.28125,0,7.287651868
-0.25,0,7.788039747
-0.21875,0,8.258015842
-0.1875,0,8.688209286
-0.15625,0,9.069677496
-0.125,0,9.394213414
-0.09375,0,9.654638238
-0.0625,0,9.845065109
-0.03125,0,9.961120247
0,0,9.999389667
0.03125,0,9.96112444
0.0625,0,9.845073333
0.09375,0,9.654650175
0.125,0,9.394228612
0.15625,0,9.069695388
0.1875,0,8.688229224
0.21875,0,8.258037126
0.25,0,7.78806166
0.28125,0,7.287673711
0.3125,0,6.766365372
0.34375,0,6.233456829
0.375,0,5.697829517
0.40625,0,5.167695646
0.4375,0,4.65041152
0.46875,0,4.152339199
0.5,0,3.678758161
0.53125,0,3.233825866
0.5625,0,2.820583734
0.59375,0,2.441003136
0.625,0,2.096064532
0.65625,0,1.785862146
0.6875,0,1.509726169
0.71875,0,1.266354803
0.75,0,1.053948976
0.78125,0,0.87034359
0.8125,0,0.713130229
0.84375,0,0.57976757
0.875,0,0.467676934
0.90625,0,0.374321646
0.9375,0,0.297269867
0.96875,0,0.234241473
1,0,0.183140184
1.03125,0,0.142072641
1.0625,0,0.109356401
1.09375,0,0.083518929
1.125,0,0.063289632
1.15625,0,0.047586873
1.1875,0,0.035501664
1.21875,0,0.026279506
1.25,0,0.019301569
1.28125,0,0.014066142
1.3125,0,0.010171015
1.34375,0,0.007297272
1.375,0,0.005194739
1.40625,0,0.00366922
1.4375,0,0.002571525
1.46875,0,0.001788195
1.5,0,0.001233803
1.53125,0,0.000844663
1.5625,0,0.000573757
1.59375,0,0.000386705
1.625,0,0.000258606
1.65625,0,0.000171595
1.6875,0,0.000112973
1.71875,0,7.38E-05
1.75,0,4.78E-05
1.78125,0,3.08E-05
1.8125,0,1.96E-05
1.84375,0,1.24E-05
1.875,0,7.81E-06
1.90625,0,4.87E-06
1.9375,0,3.01E-06
1.96875,0,1.85E-06
2,0,1.12E-06
2.03125,0,6.80E-07
2.0625,0,4.07E-07
2.09375,0,2.42E-07
2.125,0,1.43E-07
2.15625,0,8.37E-08
2.1875,0,4.86E-08
2.21875,0,2.80E-08
2.25,0,1.60E-08
2.28125,0,9.10E-09
2.3125,0,5.13E-09
2.34375,0,2.86E-09
2.375,0,1.59E-09
2.40625,0,8.74E-10
2.4375,0,4.77E-10
2.46875,0,2.58E-10
2.5,0,1.39E-10
2.53125,0,7.40E-11
2.5625,0,3.91E-11
2.59375,0,2.05E-11
2.625,0,1.07E-11
2.65625,0,5.53E-12
2.6875,0,2.83E-12
2.71875,0,1.44E-12
2.75,0,7.28E-13
2.78125,0,3.65E-13
2.8125,0,1.81E-13
2.84375,0,8.94E-14
2.875,0,4.37E-14
2.90625,0,2.12E-14
2.9375,0,1.02E-14
2.96875,0,4.89E-15
3,0,2.32E-15
3.03125,0,1.09E-15
3.0625,0,5.09E-16
3.09375,0,2.36E-16
3.125,0,1.08E-16
3.15625,0,4.94E-17
3.1875,0,2.24E-17
3.21875,0,1.00E-17
3.25,0,4.47E-18
3.28125,0,1.98E-18
3.3125,0,8.67E-19
3.34375,0,3.77E-19
3.375,0,1.63E-19
3.40625,0,6.98E-20
3.4375,0,2.96E-20
3.46875,0,1.40E-20
3.5,0,5.85E-21
3.53125,0,2.43E-21
3.5625,0,1.00E-21
3.59375,0,4.10E-22
3.625,0,1.67E-22
3.65625,0,6.71E-23
3.6875,0,2.68E-23
3.71875,0,1.06E-23
3.75,0,4.19E-24
3.78125,0,1.63E-24
