x,t,u
-2,0,1.20E-07
-1.96875,0,1.85E-07
-1.9375,0,3.01E-07
-1.90625,0,4.87E-07
-1.875,0,7.81E-07
-1.84375,0,1.24E-06
-1.8125,0,1.96E-06
-1.78125,0,3.08E-06
-1.75,0,4.78E-06
-1.71875,0,7.38E-06
-1.6875,0,1.13E-05
-1.65625,0,1.72E-05
-1.625,0,2.59E-05
-1.59375,0,3.87E-05
-1.5625,0,5.74E-05
-1.53125,0,8.45E-05
-1.5,0,0.000123393
-1.46875,0,0.000178836
-1.4375,0,0.000257175
-1.40625,0,0.000366952
-1.375,0,0.000519513
-1.34375,0,0.000729778
-1.3125,0,0.001017166
-1.28125,0,0.001406696
-1.25,0,0.00193026
-1.21875,0,0.002628079
-1.1875,0,0.003550324
-1.15625,0,0.004758878
-1.125,0,0.006329192
-1.09375,0,0.008352163
-1.0625,0,0.010935956
-1.03125,0,0.014207627
-1,0,0.018314431
-0.96875,0,0.023424608
-0.9375,0,0.029727493
-0.90625,0,0.03743271
-0.875,0,0.046768269
-0.84375,0,0.057977351
-0.8125,0,0.071313618
-0.78125,0,0.087034935
-0.75,0,0.105395431
-0.71875,0,0.126635944
-0.6875,0,0.150972982
-0.65625,0,0.178586449
-0.625,0,0.209606527
-0.59375,0,0.244100196
-0.5625,0,0.282058038
-0.53125,0,0.323382012
-0.5,0,0.367874988
-0.46875,0,0.415232831
-0.4375,0,0.465039806
-0.40625,0,0.516767977
-0.375,0,0.569781148
-0.34375,0,0.623343701
-0.3125,0,0.676634425
-0.28125,0,0.728765187
-0.25,0,0.778803975
-0.21875,0,0.825801584
-0.1875,0,0.868820929
-0.15625,0,0.90696775
-0.125,0,0.939421341
-0.09375,0,0.965463824
-0.0625,0,0.984506511
-0.03125,0,0.996112025
0,0,0.999938967
0.03125,0,0.996112444
0.0625,0,0.984507333
0.09375,0,0.965465017
0.125,0,0.939422861
0.15625,0,0.906969539
0.1875,0,0.868822922
0.21875,0,0.825803713
0.25,0,0.778806166
0.28125,0,0.728767371
0.3125,0,0.676636537
0.34375,0,0.623345683
0.375,0,0.569782952
0.40625,0,0.516769565
0.4375,0,0.465041152
